date,hour,mwh
8/15/2015,14H,186
8/15/2015,15H,182
8/15/2015,16H,145
8/15/2015,17H,147
8/15/2015,18H,152
8/15/2015,19H,152
8/15/2015,20H,253
8/15/2015,21H,275
8/15/2015,22H,261
8/15/2015,23H,275
8/16/2015,00H,264
8/16/2015,01H,285
8/16/2015,02H,275
8/16/2015,03H,291
8/16/2015,04H,300
8/16/2015,05H,274
8/16/2015,06H,308
8/16/2015,07H,284
8/16/2015,08H,166
8/16/2015,09H,167
8/16/2015,10H,165
8/16/2015,11H,166
8/16/2015,12H,167
8/16/2015,13H,164
8/16/2015,14H,164
8/16/2015,15H,173
8/16/2015,16H,289
8/16/2015,17H,357
8/16/2015,18H,308
8/16/2015,19H,374
8/16/2015,20H,312
8/16/2015,21H,371
8/16/2015,22H,376
8/16/2015,23H,364
8/17/2015,00H,307
8/17/2015,01H,381
8/17/2015,02H,403
8/17/2015,03H,387
8/17/2015,04H,406
8/17/2015,05H,452
8/17/2015,06H,232
8/17/2015,07H,189
8/17/2015,08H,182
8/17/2015,09H,165
8/17/2015,10H,175
8/17/2015,11H,166
8/17/2015,12H,172
8/17/2015,13H,166
8/17/2015,14H,167
8/17/2015,15H,165
8/17/2015,16H,196
8/17/2015,17H,306
8/17/2015,18H,362
8/17/2015,19H,492
8/17/2015,20H,475
8/17/2015,21H,448
8/17/2015,22H,384
8/17/2015,23H,402
8/18/2015,00H,436
8/18/2015,01H,462
8/18/2015,02H,430
8/18/2015,03H,385
8/18/2015,04H,445
8/18/2015,05H,412
8/18/2015,06H,293
8/18/2015,07H,195
8/18/2015,08H,181
8/18/2015,09H,185
8/18/2015,10H,189
8/18/2015,11H,169
8/18/2015,12H,173
8/18/2015,13H,167
8/18/2015,14H,175
8/18/2015,15H,198
8/18/2015,16H,203
